alias,ndcg,map,mrr,p10
medcpt,0.8272765514403153,0.6208630126550887,0.8802083333333333,0.709375
multi-qa,0.823621003596467,0.643476221192864,0.8697916666666666,0.771875
msmarco,0.7447613934301703,0.5403064003918803,0.8567708333333333,0.746875
specter2,0.7291713898764959,0.5176629048824071,0.8854166666666667,0.75
