lambda,mean_ndcg,std_ndcg,mean_map,std_map,mean_mrr,mean_p10,ndcg_fold_1,ndcg_fold_2,ndcg_fold_3,ndcg_fold_4,ndcg_fold_5
0.65,0.775352202105165,0.0574311843786515,0.5635587111680749,0.07902182577697105,0.8664285714285714,0.6907142857142856,0.7538710531789151,0.7105471576429518,0.7259385466752215,0.8336722440094828,0.8527320090192534
0.75,0.7749729694107653,0.05394654659102121,0.5634431345230327,0.07695307536097534,0.8821428571428571,0.6878571428571428,0.7527033960691396,0.7188683591794401,0.7246417386281906,0.8325539107495262,0.8460974424275303
0.7,0.7746326984770631,0.05591839191961322,0.5634460215683413,0.07905425431285647,0.8807142857142857,0.6964285714285714,0.7523475408924606,0.7161115734137121,0.7224951300970187,0.8322270497878985,0.8499821981942255
0.9,0.7744225454901001,0.04735842283416683,0.5610099754843858,0.07261143967089102,0.8869047619047621,0.6807142857142857,0.7463690863710192,0.7293946527704219,0.7344468745299924,0.8166228695548547,0.8452792442242125
0.5,0.771914881438509,0.061704703238466725,0.5599694186164801,0.08133699957969014,0.8664285714285714,0.7092857142857143,0.7521737506124163,0.6926011630391579,0.7274358542468254,0.8374527291625135,0.8499109101316318
0.3,0.7555347560238614,0.06303396860795994,0.5461562541925031,0.0813790240174836,0.8366666666666667,0.7114285714285714,0.7408035022849191,0.6660155600042443,0.7173609165611922,0.8224966888621711,0.8309971124067808
0.1,0.7350615473669034,0.0700495863444525,0.5231353316058645,0.0795334318884475,0.8330952380952381,0.7028571428571428,0.7228809555113929,0.6253630958424983,0.7061798332706967,0.8016655588661903,0.8192182933437386
