label,pair,rrf_k,mean_ndcg,std_ndcg,mean_map,std_map,mean_mrr,mean_p10,ndcg_fold_1,ndcg_fold_2,ndcg_fold_3,ndcg_fold_4,ndcg_fold_5
KNN(MedCPT) + LM-Dir  k=90,KNN(MedCPT) + LM-Dir,90,0.5463784790930211,0.06630600426487906,0.26054477764471606,0.049053511186604594,0.5352380952380953,0.3642857142857142,0.5061849516068017,0.4715639344864043,0.5228160698404871,0.5676344631013445,0.6636929764300675
KNN(MedCPT) + LM-JM  k=60,KNN(MedCPT) + LM-JM,60,0.5438470105637299,0.06111466928729869,0.2578267575721505,0.04618736335808969,0.5250974025974026,0.4,0.501168558823066,0.47872424012866827,0.5141014375899776,0.5789437916302855,0.6462970246466522
KNN(MedCPT) + LM-JM  k=30,KNN(MedCPT) + LM-JM,30,0.5437140791000047,0.06495114047008091,0.2560453702857958,0.04764042376780078,0.5352164502164503,0.375,0.50783260782976,0.4680802899806213,0.5088891392217646,0.5839843337935328,0.6497840246743449
KNN(MedCPT) + LM-JM  k=90,KNN(MedCPT) + LM-JM,90,0.542746253907673,0.06313568645787311,0.25670414182938217,0.046869334861034735,0.5186688311688312,0.37857142857142856,0.49882182152307625,0.47690707615479966,0.5135804093412788,0.57242984091884,0.65199212160037
KNN(MedCPT) + KNN(msmarco)  k=30,KNN(MedCPT) + KNN(msmarco),30,0.5367296816478745,0.08447884624526632,0.2635107011337673,0.06917252464779652,0.5675340136054421,0.4007142857142857,0.4887025139931798,0.4848823183213364,0.44515454948355915,0.5878668029877442,0.6770422234535526
KNN(MedCPT) + KNN(msmarco)  k=60,KNN(MedCPT) + KNN(msmarco),60,0.5350911652423187,0.0925277645433577,0.2638030538780308,0.07533594489162586,0.54328231292517,0.38928571428571435,0.484265731120544,0.4732408512299558,0.4409848700155317,0.5829716094159233,0.6939927644296384
KNN(MedCPT) + KNN(msmarco)  k=90,KNN(MedCPT) + KNN(msmarco),90,0.5323346465108835,0.09233420333454805,0.2620788199994368,0.0749726450397278,0.5242630385487528,0.37785714285714284,0.4820077938226584,0.4696613769080811,0.44041483047990004,0.5768206923839045,0.6927685389598734
KNN(MedCPT) + KNN(multi-qa)  k=60,KNN(MedCPT) + KNN(multi-qa),60,0.029685224272469345,0.013192924124999639,0.013658696810482323,0.0015888066604850897,0.08672724685884756,0.02142857142857143,0.014955538342892852,0.026142880094173045,0.03373201737278426,0.020623802362344894,0.05297188319015168
KNN(MedCPT) + KNN(multi-qa)  k=90,KNN(MedCPT) + KNN(multi-qa),90,0.029685224272469345,0.013192924124999639,0.013658696810482323,0.0015888066604850897,0.08672724685884756,0.02142857142857143,0.014955538342892852,0.026142880094173045,0.03373201737278426,0.020623802362344894,0.05297188319015168
KNN(MedCPT) + KNN(multi-qa)  k=30,KNN(MedCPT) + KNN(multi-qa),30,0.027107008659088556,0.008823278604351475,0.01300881655476179,0.0006311298078675581,0.044097431777421904,0.019285714285714285,0.015005007387328724,0.026662709384446672,0.03281457095616773,0.02086628067692694,0.0401864748905727
KNN(MedCPT) + KNN(SPECTER2)  k=30,KNN(MedCPT) + KNN(SPECTER2),30,0.015168868928477807,0.00798769603228509,0.011637169404121081,0.00120658968039567,0.030638754429206484,0.010714285714285714,0.022494311010761017,0.003040835358861916,0.01796215466005313,0.008809961540900076,0.0235370820718129
KNN(MedCPT) + KNN(SPECTER2)  k=60,KNN(MedCPT) + KNN(SPECTER2),60,0.014922235624412514,0.008002774258231609,0.011563559308079535,0.001209865179279239,0.028001247009090367,0.007857142857142858,0.022351676789322223,0.003040835358861916,0.017367231832705752,0.008314352069359786,0.0235370820718129
KNN(MedCPT) + KNN(SPECTER2)  k=90,KNN(MedCPT) + KNN(SPECTER2),90,0.014922235624412514,0.008002774258231609,0.011563559308079535,0.001209865179279239,0.028001247009090367,0.007857142857142858,0.022351676789322223,0.003040835358861916,0.017367231832705752,0.008314352069359786,0.0235370820718129
