k1,b,mean_ndcg,std_ndcg,mean_map,std_map,mean_mrr,mean_p10,ndcg_fold_1,ndcg_fold_2,ndcg_fold_3,ndcg_fold_4,ndcg_fold_5
1.5,1.0,0.7989247578124455,0.04342212001937589,0.5960539798789428,0.06805554506479823,0.8821428571428571,0.6942857142857143,0.782448201796637,0.7570078178509239,0.7538591953796349,0.8478168163072308,0.8534917577278016
1.2,1.0,0.7984922236379508,0.04642850980162997,0.5962106154578185,0.07045445979550612,0.8773809523809524,0.6985714285714286,0.7798806292277243,0.750018704308479,0.7546644716736008,0.8516842186199872,0.8562130943599628
1.7,1.0,0.7969787478856676,0.042837948757572276,0.5947788378988655,0.06817636137411451,0.8773809523809524,0.695,0.772617475450093,0.7637415625930621,0.7510773205854668,0.84606288289677,0.8513944979029459
1.0,1.0,0.7953464326614001,0.0501081926037476,0.5943085253817044,0.07397756104470961,0.8473809523809525,0.6978571428571427,0.7770142552237089,0.7455761483154345,0.7442739475812995,0.8509796562061799,0.8588881559803779
1.7,0.75,0.7930512789663707,0.04981818481893465,0.5954152363302552,0.07193870764541738,0.8369047619047618,0.7121428571428571,0.7620715597639026,0.7392113656217069,0.7577337565835088,0.846525046432499,0.8597146664302362
1.5,0.75,0.7924324991060776,0.05004707964467532,0.594782785877995,0.07298312002419817,0.8369047619047618,0.7114285714285714,0.763867405874295,0.7383340045613382,0.7548997119570525,0.8439096408764939,0.8611517322612081
0.8,1.0,0.7907473077183473,0.05206832426378319,0.5916301563536646,0.07572509813725878,0.8330952380952381,0.7007142857142856,0.7681236917579014,0.7409613216246012,0.7386815030009518,0.8456648990355375,0.860305123172745
1.2,0.75,0.7900961425760381,0.05231526726913237,0.5933455138161481,0.07551278023410095,0.8273809523809523,0.7107142857142857,0.76176674359163,0.7357955246929794,0.7470250356294673,0.8435175613553639,0.8623758476107501
1.0,0.75,0.7886383852969979,0.05159000640195841,0.5916271664798812,0.07472043418863689,0.8083333333333333,0.7164285714285714,0.7554417787467391,0.7394584803218232,0.7460462166041877,0.842059400650573,0.8601860501616665
1.7,0.5,0.7880087509059274,0.051349566798663024,0.5888878611454267,0.07150596379268312,0.8630952380952381,0.7178571428571429,0.7516829735518638,0.7315013407577723,0.7591076815297377,0.8342752956227848,0.863476463067478
1.5,0.5,0.7868292345372812,0.05241775748548453,0.5881848955243886,0.07244637148531892,0.8488095238095237,0.715,0.7515031443323054,0.7310265187512913,0.7529510295440792,0.834925769674463,0.8637397103842666
1.2,0.5,0.7845075881957506,0.05438459019653598,0.5862262603948705,0.0734577323964902,0.8178571428571428,0.7142857142857142,0.7528506057243144,0.7237734812490558,0.7476781003315401,0.8351137346731604,0.8631220190006819
0.8,0.75,0.7838761748892321,0.05444258235662225,0.5866318021372684,0.07610455923056646,0.7940476190476191,0.7107142857142857,0.7517229992120497,0.7319614208811523,0.7364925274318395,0.8394521638214384,0.8597517630996809
1.0,0.5,0.7835544256630512,0.05504620565118819,0.5850758276228717,0.07340821666190477,0.8035714285714285,0.7114285714285714,0.7497005376308566,0.7225967430650104,0.7474121732709775,0.8347522494881314,0.86331042486028
0.8,0.5,0.7823953574908643,0.05445618420700667,0.5833428500761346,0.07163724114101896,0.7940476190476191,0.6950000000000001,0.7470349182919293,0.7195260638785571,0.7520887684952309,0.8317439188032515,0.8615831179853527
0.5,1.0,0.7811460030135485,0.05638588330496522,0.5828208031414729,0.07824188440162569,0.7997619047619048,0.7171428571428571,0.7481674710571039,0.7280425983313684,0.7308771587382509,0.8401956170960911,0.8584471698449283
1.7,0.25,0.7787688942354284,0.05773817284251791,0.578695368097985,0.07144482079323952,0.838095238095238,0.6978571428571428,0.7430020237113829,0.7073258643729103,0.7540583540702508,0.8226724221028222,0.8667858069197756
1.5,0.25,0.7785096933912892,0.05829514221127557,0.5783968047705874,0.07160528741292124,0.8366666666666667,0.6950000000000001,0.7442491379584448,0.7039503779206052,0.7550262373265048,0.8228074902501616,0.8665152235007297
1.2,0.25,0.7779566904931153,0.05844324371105341,0.5778589029700028,0.0719477809893848,0.8285714285714285,0.6978571428571428,0.7426140374046646,0.7029220294019705,0.7564160171287794,0.821182648203603,0.8666487203265592
0.5,0.75,0.777952240179444,0.05678417852912662,0.5779725861511322,0.07588256046318143,0.7821428571428571,0.7107142857142857,0.7471455912544199,0.7239944501858482,0.7266149008575712,0.8325058609020709,0.8595003976973096
1.0,0.25,0.776505137174239,0.06025351848979935,0.5775872371214572,0.07322932041811558,0.8119047619047619,0.6921428571428572,0.7435557783914738,0.6994126954630565,0.7499274472263016,0.8215263503295198,0.8681034144608429
0.5,0.5,0.7747884329096202,0.05629206320746977,0.5734604486496042,0.07249324953835418,0.8011904761904762,0.6864285714285714,0.7419523930761053,0.7057051734744583,0.7456200067081447,0.8237418362915786,0.8569227549978138
0.8,0.25,0.7721856398610809,0.06327328143878314,0.5743020885309413,0.07581560636740495,0.8,0.6892857142857143,0.7423331662571236,0.6896150073232883,0.7419679687941146,0.8187860175822854,0.8682260393485927
0.5,0.25,0.7649508479751517,0.06267159311533181,0.5649778186633856,0.076872194742919,0.8023809523809524,0.6835714285714285,0.734002149831178,0.68542500572498,0.7332756687948188,0.8110269772745752,0.8610244382502067
