k1,b,mean_ndcg,std_ndcg,mean_map,std_map,mean_mrr,mean_p10,ndcg_fold_1,ndcg_fold_2,ndcg_fold_3,ndcg_fold_4,ndcg_fold_5
1.5,1.0,0.8010837972819024,0.04381313267727782,0.5960539798789428,0.06805554506479823,0.8821428571428571,0.6942857142857143,0.7851104930675159,0.7570642270916742,0.7570228739447143,0.8481045703975676,0.8581168219080395
1.2,1.0,0.8006240915202703,0.04680319299913228,0.5962106154578185,0.07045445979550612,0.8773809523809524,0.6985714285714286,0.7826506191569048,0.7500815290822843,0.7577740014565828,0.8519619873402281,0.8606523205653519
1.0,1.0,0.7975214485148421,0.0503575266251663,0.5943085253817044,0.07397756104470961,0.8473809523809525,0.6978571428571427,0.779773219809368,0.7458785969800054,0.7475219985501703,0.8512827286953935,0.8631506985392725
1.5,0.75,0.7943032551304885,0.050445829473266916,0.594782785877995,0.07298312002419817,0.8369047619047618,0.7114285714285714,0.7660620688683349,0.7387859239404759,0.7574735702566462,0.8441813365580381,0.8650133760289471
0.8,1.0,0.7928660286331225,0.052370528853152847,0.5916301563536646,0.07572509813725878,0.8330952380952381,0.7007142857142856,0.7708656650820139,0.741272575236436,0.7417122679304612,0.8460263834306925,0.8644532514860095
1.2,0.75,0.791933605790253,0.05271984794142841,0.5933455138161481,0.07551278023410095,0.8273809523809523,0.7107142857142857,0.7639981137153672,0.7362442756831935,0.7494125079342305,0.8438088362267815,0.8662042953916916
1.0,0.75,0.7905290966694292,0.05197419894586844,0.5916271664798812,0.07472043418863689,0.8083333333333333,0.7164285714285714,0.7578602577064659,0.7398516186138336,0.7484494137905096,0.8424118952643479,0.8640722979719889
1.5,0.5,0.7885090035810022,0.05298932706366184,0.5881848955243886,0.07244637148531892,0.8488095238095237,0.715,0.7532597926831025,0.7315111672483035,0.7550125406201591,0.8352507324950134,0.867510784858432
1.2,0.5,0.7862310637422031,0.05493962405419917,0.5862262603948705,0.0734577323964902,0.8178571428571428,0.7142857142857142,0.7544972126094451,0.7244739658204143,0.7497785071453255,0.8354010952739117,0.8670045378619193
0.8,0.75,0.7857234017940005,0.05489175745702228,0.5866318021372684,0.07610455923056646,0.7940476190476191,0.7107142857142857,0.7536868582151095,0.7325569765648207,0.7388124552764761,0.8398464566381209,0.8637142622754759
1.0,0.5,0.7853218214849541,0.05564580661374733,0.5850758276228717,0.07340821666190477,0.8035714285714285,0.7114285714285714,0.7514525012413277,0.7232763941746493,0.7494511005325885,0.8351661977499053,0.8672629137262995
0.8,0.5,0.7841316068084436,0.05513407272550538,0.5833428500761346,0.07163724114101896,0.7940476190476191,0.6950000000000001,0.7488699167072898,0.7201870552010735,0.7537938484584783,0.832240266083638,0.8655669475917394
0.5,1.0,0.7832705166264564,0.05668781939436587,0.5828208031414729,0.07824188440162569,0.7997619047619048,0.7171428571428571,0.7510394233784558,0.7286055198011808,0.7335735849470718,0.8405709537838243,0.862563101221749
0.5,0.75,0.7798498930038658,0.05732346959835715,0.5779725861511322,0.07588256046318143,0.7821428571428571,0.7107142857142857,0.7497258370140257,0.7242204896829427,0.7288090725008062,0.8329776400228595,0.8635164257986948
1.5,0.25,0.7798251922538579,0.058737836024670406,0.5783968047705874,0.07160528741292124,0.8366666666666667,0.6950000000000001,0.7457315914511177,0.7044160059074621,0.7566306046362684,0.8231579897625831,0.869189769511858
1.2,0.25,0.779256974877357,0.058959001618406795,0.5778589029700028,0.0719477809893848,0.8285714285714285,0.6978571428571428,0.7441109213943262,0.7031988359159149,0.7579844128723295,0.8216923412369662,0.8692983629672482
1.0,0.25,0.7778271443906555,0.060769096340286474,0.5775872371214572,0.07322932041811558,0.8119047619047619,0.6921428571428572,0.7451118404348617,0.6996732245834946,0.7515323162798354,0.8220403120516854,0.8707780286034001
0.5,0.5,0.7765207117268241,0.05709482003724051,0.5734604486496042,0.07249324953835418,0.8011904761904762,0.6864285714285714,0.7442677379002431,0.7058532607134735,0.7472768808870274,0.8242173488176363,0.8609883303157407
0.8,0.25,0.7734467036642242,0.06365564134485036,0.5743020885309413,0.07581560636740495,0.8,0.6892857142857143,0.7440035267216992,0.6899268415725783,0.7435089222430726,0.8192929897805051,0.8705012380032657
0.5,0.25,0.7663516349722456,0.06295078591898458,0.5649778186633856,0.076872194742919,0.8023809523809524,0.6835714285714285,0.7361932103054268,0.6857019415128568,0.7351582174521984,0.8114211837140776,0.8632836218766685
