mu,mean_map,std_map,mean_mrr,mean_p10,map_fold_1,map_fold_2,map_fold_3,map_fold_4,map_fold_5
50,0.5549426432115748,0.08899537400003218,0.7559523809523809,0.7035714285714285,0.5153001501811698,0.4452807277651464,0.49355990720647086,0.6557451082343653,0.664827322670722
75,0.55576314906246,0.08860608887881723,0.7845238095238095,0.6957142857142857,0.5137315105687236,0.4418494168139659,0.5035672472877258,0.6518842231258881,0.667783347515997
100,0.5526492200760524,0.08755598651660752,0.775,0.6928571428571428,0.5105891738057815,0.43755377955924757,0.5056662337116204,0.6430868867570684,0.6663500265465438
200,0.5459242721634829,0.08807593678924204,0.7702380952380953,0.6757142857142858,0.5102413249428438,0.42657751275808176,0.49838725419043445,0.6314989669762575,0.6629163019497967
500,0.5361680252326084,0.08984004939499549,0.7785714285714287,0.6614285714285715,0.49338386777686694,0.41297541892839973,0.49602596481707323,0.6234889471591594,0.654965927481543
1000,0.5291418778764598,0.08998249356444345,0.819047619047619,0.6471428571428571,0.4829640662303964,0.4093663435236132,0.48699098810788133,0.6162338536325834,0.6501541378878247
2000,0.5199484658269604,0.0868307285135999,0.8319047619047619,0.6592857142857141,0.4706359432050043,0.40580343473895997,0.48132142955998136,0.6082250767807315,0.6337564448501245
